Symbol,Date,Open,High,Low,Close,Adj Close,Volume
DG,20091201,23.440001,23.57,23,23.309999,21.656355,803500
DG,20091202,23.290001,23.75,23.25,23.6,21.925779,571300
DG,20091203,23.82,23.82,23,23.309999,21.656355,410000
DG,20091204,23.469999,23.98,23.299999,23.85,22.158043,318100
DG,20091207,23.77,23.77,23.280001,23.629999,21.953648,271500
DG,20091208,23.5,23.75,23,23.629999,21.953648,652900
DG,20091209,23.629999,24.120001,23.5,24,22.297405,609400
DG,20091210,24.77,24.77,23.389999,23.700001,22.018686,848400
DG,20091211,23.6,23.74,23.110001,23.34,21.684227,600300
DG,20091214,23.290001,23.33,22.75,22.799999,21.182539,489100
DG,20091215,22.799999,22.889999,22.52,22.690001,21.080341,700100
DG,20091216,22.84,23.049999,22.549999,22.73,21.1175,585400
DG,20091217,22.75,22.75,22.08,22.440001,20.848074,634000
DG,20091218,22.610001,22.610001,22.110001,22.57,20.968851,2105100
DG,20091221,22.5,22.610001,22.17,22.6,20.996719,536400
DG,20091222,22.58,22.610001,22.299999,22.4,20.810909,766100
DG,20091223,23.219999,23.25,22.4,22.41,20.8202,1103000
DG,20091224,22.459999,22.6,22.1,22.15,20.578642,254300
DG,20091228,22.15,22.68,22.15,22.620001,21.015305,804300
DG,20091229,22.690001,22.799999,22.530001,22.610001,21.006014,123500
DG,20091230,22.52,22.799999,22.52,22.610001,21.006014,173300
DG,20091231,22.799999,22.84,22.379999,22.43,20.838785,156700
DG,20100104,22.549999,23.4,22.4,23.08,21.442673,437200
DG,20100105,23,23.26,22.959999,23.26,21.6099,283600
DG,20100106,23.6,23.9,23.41,23.58,21.907202,968100
DG,20100107,23.549999,23.780001,23.4,23.74,22.055851,360700
DG,20100108,23.639999,24.15,23.32,23.870001,22.176626,967300
DG,20100111,23.85,24.08,23.76,24,22.297405,253500
DG,20100112,23.85,24,23.559999,23.950001,22.250954,517700
DG,20100113,23.950001,24.4,23.809999,24.299999,22.576124,596300
DG,20100114,24.18,24.200001,23.93,24.200001,22.483215,201500
DG,20100115,24.440001,24.5,24.1,24.360001,22.631868,202100
DG,20100119,24.4,24.9,24.23,24.549999,22.808388,679300
DG,20100120,24.51,24.799999,24.25,24.51,22.771225,589800
DG,20100121,24.530001,24.719999,23.9,23.98,22.278824,203300
DG,20100122,23.99,24.040001,22.77,23.34,21.684227,892700
DG,20100125,23.639999,23.639999,23.059999,23.35,21.693518,119500
DG,20100126,23.4,23.68,23.32,23.530001,21.860748,164800
DG,20100127,23.6,23.6,23.370001,23.549999,21.879328,175300
DG,20100128,23.790001,24.120001,23.389999,23.84,22.148754,131400
DG,20100129,24,24,23.23,23.49,21.823589,337800
DG,20100201,23.68,23.68,23.129999,23.370001,21.712095,407500
DG,20100202,23.33,23.719999,23.190001,23.629999,21.953648,208300
DG,20100203,23.6,23.860001,23.41,23.84,22.148754,827700
DG,20100204,23.639999,23.75,22.35,22.469999,20.875942,714000
