Stock,Date,Open,High,Low,Close,Adj Close,Volume
TGT,20000103,36.125,36.375,35.125,36.03125,24.076612,2870400
TGT,20000104,34.75,35.34375,34.3125,34.46875,23.03252,3856400
TGT,20000105,34.46875,34.96875,33.5,33.6875,22.510492,4330600
TGT,20000106,33,33.125,31.84375,32.09375,21.445532,8167400
TGT,20000107,32,33.84375,31.90625,33.75,22.55225,4402600
TGT,20000110,33.25,33.75,32.78125,33.09375,22.113745,2559600
TGT,20000111,33.03125,34.25,33,34.09375,22.781944,3790400
TGT,20000112,34.15625,34.375,33.5625,33.71875,22.531372,3191400
TGT,20000113,34.5625,35,34.21875,34.5,23.053413,5080200
TGT,20000114,35,35.21875,34.4375,34.625,23.136946,2916600
TGT,20000118,33.75,34.25,33.625,34,22.719309,1939200
TGT,20000119,34.03125,35.90625,33.5,34.96875,23.366636,3417000
TGT,20000120,34.96875,35.09375,33.5,33.84375,22.614904,3005400
TGT,20000121,34.375,34.5,32.25,32.40625,21.654331,5370200
TGT,20000124,32.75,33.125,31.625,31.75,21.21583,5629400
TGT,20000125,32.25,32.71875,31.4375,32.5625,21.758751,4761400
TGT,20000126,32.5,34.25,32.5,34.0625,22.76107,5087000
TGT,20000127,33.96875,34,32.90625,33.65625,22.489611,4697200
TGT,20000128,33.71875,33.71875,31.5,31.6875,21.174063,4666800
TGT,20000131,31.875,33.125,31.6875,32.9375,22.009325,3084800
TGT,20000201,33,34.0625,32.5625,33.71875,22.531372,2733200
TGT,20000202,33.75,34.5625,33.03125,34,22.719309,3095800
TGT,20000203,33.875,33.875,32.8125,33.03125,22.071983,4748800
TGT,20000204,33.46875,33.75,31.875,32.3125,21.591696,4543600
TGT,20000207,32.5,33.25,32.3125,32.84375,21.946682,2819400
TGT,20000208,32.84375,34.375,32.8125,34.34375,22.949011,3512200
TGT,20000209,34.34375,34.34375,33.5,33.59375,22.447844,2085400
TGT,20000210,33.65625,34.125,33.0625,33.21875,22.197264,1900000
TGT,20000211,33.28125,33.4375,33.03125,33.03125,22.071983,2102400
TGT,20000214,33.0625,33.0625,32.1875,32.625,21.80051,1876800
TGT,20000215,32.5,32.5,31.4375,31.96875,21.361998,2811400
TGT,20000216,31.875,32.625,30.71875,30.90625,20.684364,3917000
TGT,20000217,30.90625,31.125,29.25,29.9375,20.036024,5698600
TGT,20000218,29.9375,30.375,29.09375,29.5,19.743217,5321600
TGT,20000222,29.40625,29.90625,27.71875,28.875,19.32493,5649200
TGT,20000223,29.125,29.15625,28.34375,28.40625,19.011215,3702200
TGT,20000224,28.40625,28.40625,26.875,27.9375,18.697498,4127400
TGT,20000225,28.03125,28.375,27.4375,27.9375,18.697498,4806600
TGT,20000228,28.625,29.53125,28.3125,29.4375,19.701393,3935000
TGT,20000229,29.4375,30.25,29.0625,29.5,19.743217,3704400
TGT,20000301,29.46875,30,29.25,29.625,19.826876,4027400
TGT,20000302,29.6875,31.1875,29.6875,30.125,20.161516,4042600
TGT,20000303,30.5,31.375,29.9375,30.875,20.663458,2528000
TGT,20000306,30.96875,31.09375,29.96875,30.375,20.328817,2646000
TGT,20000307,30,30.03125,28.78125,29,19.408594,3787200
TGT,20000308,28.4375,29.09375,28.4375,29.09375,19.471327,5544800
TGT,20000309,29.125,30.25,28.3125,30.03125,20.098766,2846400
TGT,20000310,30.25,31,30.21875,30.40625,20.349737,2626600
TGT,20000313,29.75,30.875,29.25,30.71875,20.558882,3464400
TGT,20000314,30.71875,31.46875,30.1875,30.46875,20.391565,2396800
TGT,20000315,30.5,32.3125,30.125,32,21.416374,3036200
TGT,20000316,32.5,35.625,32.5,35.5625,23.800615,5595000
TGT,20000317,35,35.625,34.53125,34.75,23.256845,6235200
TGT,20000320,34.5625,34.625,33,33.1875,22.211115,5328200
TGT,20000321,33.125,33.9375,32.65625,33.46875,22.399355,4826400
TGT,20000322,33.1875,33.6875,32.46875,33.34375,22.315695,3030600
TGT,20000323,33.125,34.375,32.65625,34,22.754902,2861400
TGT,20000324,34.125,35,34.125,34.5625,23.131363,2496200
TGT,20000327,34.4375,34.6875,33.8125,34.21875,22.901295,2219200
TGT,20000328,33.625,34.625,33.625,34.4375,23.047699,5298000
TGT,20000329,34.5,36.5,34.4375,36.3125,24.302561,4486200
TGT,20000330,36.34375,38.625,36.125,38.59375,25.829321,7097800
TGT,20000331,38.625,38.625,37.3125,37.375,25.013655,5896800
TGT,20000403,37.28125,39.0625,36.5625,38.5,25.766577,5473800
TGT,20000404,38.5,39.1875,36.625,37.65625,25.20188,5482000
TGT,20000405,37.5,37.8125,36.625,37.09375,24.825436,2378600
TGT,20000406,36,37.53125,35.65625,37,24.762674,5371600
TGT,20000407,36.875,37.5625,36.625,37.125,24.846342,1882800
TGT,20000410,37.125,38.03125,36.65625,37.59375,25.160055,2132400
TGT,20000411,37,37.375,36.0625,36.4375,24.386221,4503800
TGT,20000412,36.4375,36.8125,35.84375,36.15625,24.198004,3559800
TGT,20000413,36.03125,36.03125,35.3125,35.3125,23.633303,2936000
TGT,20000414,35,35,33,34.15625,22.859472,2840400
