Symbol,Date,Open,High,Low,Close,Adj Close,Volume
WMT,19991231,68.3125,70.25,68.25,69.125,46.470005,2112700
WMT,20000103,68.375,69,65.5,66.8125,44.915394,8369900
WMT,20000104,65.5,65.8125,64.1875,64.3125,43.234753,6745100
WMT,20000105,63.875,64.375,62.1875,63,42.352402,7018700
WMT,20000106,63,64.5625,62.6875,63.6875,42.814594,6544500
WMT,20000107,64.5,68.9375,64.5,68.5,46.04985,7976900
WMT,20000110,67.25,67.5,65.625,67.25,45.209503,6714300
WMT,20000111,67.0625,67.75,65.625,66.25,44.537239,4943300
WMT,20000112,66.1875,66.75,65.0625,65.0625,43.738934,4085000
WMT,20000113,66,66.125,65,65.125,43.780926,5021000
WMT,20000114,64,65.9375,64,64.5,43.360802,6312200
WMT,20000118,63.1875,66.4375,63.0625,65.5625,44.075066,6442200
WMT,20000119,65.25,65.8125,64,64.0625,43.066669,4819900
WMT,20000120,64.4375,64.5,62.5,63.375,42.604504,5738100
WMT,20000121,63.9375,63.9375,62.0625,62.4375,41.974274,6952500
WMT,20000124,63.4375,63.4375,57.5,59.375,39.915462,7799900
WMT,20000125,59.8125,61.1875,59.5,61.125,41.091923,6403800
WMT,20000126,61.125,62.0625,60,61.9375,41.638123,4538400
WMT,20000127,61.3125,61.5,57.875,59.125,39.747395,7323300
WMT,20000128,58.875,58.875,53.5,55.125,37.058346,14029400
WMT,20000131,54.5625,55.5,54.125,54.75,36.806255,7972700
WMT,20000201,55,59.5,54.9375,58.6875,39.453281,8359000
WMT,20000202,58.875,60.125,57.9375,58.375,39.243206,6034600
WMT,20000203,58.375,58.8125,56.25,58.375,39.243206,6999000
WMT,20000204,57.9375,57.9375,56,56.3125,37.856655,6549700
WMT,20000207,56.625,56.625,54.625,55.75,37.478527,6043700
WMT,20000208,57.3125,59.6875,56.875,59.5,39.999504,8576100
WMT,20000209,60,60.125,57.3125,57.8125,38.865059,8216600
WMT,20000210,57.625,58.375,56.8125,57,38.318848,4591600
WMT,20000211,57.4375,57.5,55.625,56.0625,37.688602,4816700
WMT,20000214,56.6875,58.875,56.5,58.875,39.579323,5803600
WMT,20000215,56.9375,58,55,58,38.991112,9712100
WMT,20000216,56.5,56.5,52.6875,52.75,35.461723,13585800
WMT,20000217,52.9375,53.5,48,48.375,32.520607,24766700
WMT,20000218,48.5,49.5,47.25,47.75,32.100445,19394400
WMT,20000222,49.25,49.3125,46.75,48.125,32.352531,12342600
WMT,20000223,48.4375,48.5,46.75,47,31.596235,12874400
WMT,20000224,47,47.875,43.4375,47.875,32.184471,19431900
WMT,20000225,44.3125,45.3125,43.625,44.5,29.915592,16908500
WMT,20000228,44.5625,46.9375,44.5625,46.1875,31.05003,17836100
WMT,20000229,47.9375,49.75,47.9375,48.75,32.772686,17197200
WMT,20000301,49.875,50,47.5,49,32.940754,10165800
WMT,20000302,52.75,52.875,50.4375,50.5625,33.991158,15542700
WMT,20000303,52.125,53.3125,51.5,52.625,35.377697,10790800
WMT,20000306,52.625,52.6875,48.625,50.5,33.949139,10493600
WMT,20000307,49.625,49.625,47.125,47.5625,31.97439,9724700
WMT,20000308,47.3125,49.3125,45.625,48.3125,32.478569,10018700
WMT,20000309,49,49.4375,46.875,48.9375,32.898754,7944900
WMT,20000310,49.75,49.75,47.4375,47.9375,32.226471,7005500
WMT,20000313,46.25,47.9375,45.875,47.6875,32.058422,7727900
WMT,20000314,47,48.8125,46.3125,47.75,32.100445,9985000
WMT,20000315,47.4375,51.9375,46.5625,51.5,34.664982,14670000
WMT,20000316,52.3125,55.5625,51.625,54.625,36.768398,19716000
WMT,20000317,54.5625,56.25,54.125,55.75,37.525673,12637300
WMT,20000320,55.8125,55.8125,53.375,55.125,37.104988,6769100
WMT,20000321,55.4375,56.625,54.5,56.625,38.114643,7854600
WMT,20000322,56.5,56.5,54,55.375,37.273254,9963500
WMT,20000323,54.375,54.5625,53.5,54,36.347736,7025500
WMT,20000324,54.4375,55.6875,54,55.5,37.357395,7952900
WMT,20000327,54.6875,55.5,54.25,55.4375,37.315342,5774900
WMT,20000328,54.5625,55.9375,54.5,54.5,36.684307,5797600
WMT,20000329,55.5,59.375,55.4375,58.75,39.544983,13596700
WMT,20000330,59.75,60.75,58.875,59,39.713264,11570800
WMT,20000331,59.25,59.3125,55.5,56.5,38.030506,9054000
WMT,20000403,56.625,62,56.625,61.1875,41.185692,11935700
WMT,20000404,61.6875,63.3125,57.5,60,40.386368,13675800
WMT,20000405,59.3125,60.125,57.5625,58.25,39.208439,7066000
WMT,20000406,59.125,61.25,58.75,61.125,41.14362,7254200
WMT,20000407,61.25,62,60.625,61.5,41.396046,4013100
WMT,20000410,61.5,63.6875,61,63.5625,42.784309,5521000
WMT,20000411,62.875,63.5,61.5,63.375,42.658104,5355400
WMT,20000412,63.4375,64.9375,62.0625,62.4375,42.027069,7243300
WMT,20000413,62.3125,62.3125,59.5,60.0625,40.42844,7884500
WMT,20000414,58,58.9375,55,55,37.020832,9372700
WMT,20000417,55.125,56.375,51.75,54,36.347736,9660500
WMT,20000418,54,56.3125,53.125,53.875,36.263603,7661200
WMT,20000419,54.125,55.5,53.75,54.9375,36.978764,6255300
WMT,20000420,55.125,57.9375,55.125,57.6875,38.829819,6090400
WMT,20000424,57.9375,60.625,57.5,58.875,39.629128,5633700
WMT,20000425,58.0625,60.75,57.5625,59.6875,40.176018,6038300
WMT,20000426,60.1875,60.75,58.3125,58.75,39.544983,5202000
WMT,20000427,57.625,58.4375,56.5,57.6875,38.829819,5515000
WMT,20000428,56.8125,57.3125,55.375,55.375,37.273254,5012600
WMT,20000501,56.375,58.8125,56.1875,57.9375,38.998081,5109000
WMT,20000502,57.3125,57.8125,56.6875,57.625,38.78775,4821500
WMT,20000503,54.25,54.5,52.75,53.4375,35.969112,10457300
WMT,20000504,53.9375,53.9375,50.4375,51,34.328423,10766900
WMT,20000505,50.1875,52.875,50.1875,51.3125,34.538761,8640000
WMT,20000508,51.25,52.375,49.5,52.375,35.253944,7626100
WMT,20000509,54.375,54.875,52.5,53,35.674644,8888200
WMT,20000510,53.4375,57.125,53,56.6875,38.156712,11245300
WMT,20000511,56.9375,57.0625,55,56,37.693951,6105300
WMT,20000512,55.75,57.1875,55.3125,56.8125,38.240837,4371000
WMT,20000515,56.25,57.3125,55.5,57,38.36705,4272300
WMT,20000516,57.4375,59.0625,57.1875,58,39.040169,6378700
